league,lat,long,team,color1,color2,teamID,metroID
NCAA BB,41.69307, -72.76525,Central Connecticut Blue Devils,#00539b,#ffffff,244, 304
NCAA BB,32.78531, -79.93373,Charleston Cougars,#800000,#9d8958,245, 828
NCAA BB,35.05041, -85.30098,Chattanooga Mocs,#00386b,#e0aa0f,246,1075
NCAA BB,41.71842, -87.60901,Chicago State Cougars,#006666,#000000,247,  39
NCAA BB,41.49930, -81.67724,Cleveland State Vikings,#006747,#006747,248, 239
NCAA BB,42.81540, -75.54250,Colgate Red Raiders,#821019,#E10028,249,2111
NCAA BB,40.80986, -73.96187,Columbia University Lions,#003865,#9BCBEB,250,   5
NCAA BB,39.31189, -76.65791,Coppin State Eagles,#003056,#ffc915,251, 311
NCAA BB,42.44568, -76.47659,Cornell Big Red,#B31B1B,#5e3920,252,2383
NCAA BB,41.26408, -95.92824,Creighton Jays,#005ca9,#00235D,253, 783
NCAA BB,32.97931, -80.08577,CSU Buccaneers,#4E0B32,#EEC632,254, 828
NCAA BB,34.24192,-118.52627,CSUN Matadors,#CE1126,#D1CEC6,255,  23
NCAA BB,43.70297, -72.28282,Dartmouth Big Green,#046A38,#046A38,256,3900
NCAA BB,35.49912, -80.84036,Davidson Wildcats,#ac1a2f,#ac1a2f,257, 357
NCAA BB,39.73541, -84.20055,Dayton Flyers,#CE1141,#004B8D,258, 671
NCAA BB,39.66042, -75.74868,Delaware Fightin' Blue Hens,#00539f,#FFDD31,259,2474
NCAA BB,39.18752, -75.54336,Delaware State Hornets,#EE3124,#72CDF4,260,2180
NCAA BB,39.68206,-104.96158,Denver Pioneers,#8b2332,#8b6f4b,261, 178
NCAA BB,42.00413, -87.88653,DePaul Demons,#005EB8,#E4002B,262,  39
NCAA BB,42.41483, -83.13596,Detroit Mercy Titans,#A6093D,#002D72,263, 139
NCAA BB,41.60480, -93.65224,Drake Bulldogs,#004477,#999999,264, 953
NCAA BB,39.95625, -75.19101,Drexel Dragons,#00437b,#ffda02,265,  67
NCAA BB,40.43736, -79.98781,Duquesne Dukes,#041E42,#BA0C2F,266, 308
NCAA BB,36.30366, -82.37091,East Tennessee Buccaneers,#592A8A,#FDC82F,267,1617
NCAA BB,39.47977, -88.18016,Eastern Illinois Panthers,#919295,#004b83,268,5336
NCAA BB,37.73727, -84.30150,Eastern Kentucky Colonels,#8a0039,#ffffff,269,1294
NCAA BB,47.49256,-117.59068,Eastern Washington Eagles,#a10022,#6d6e71,270,1032
NCAA BB,36.10465, -79.50570,Elon Phoenix,#73000a,#b59a57,271,2515
NCAA BB,37.97834, -87.51606,Evansville Purple Aces,#52237f,#f36f21,272,1757
NCAA BB,41.17361, -73.18735,Fairfield Stags,#C8102E,#A2AAAD,273, 204
NCAA BB,40.89625, -74.03345,Fairleigh Dickinson Knights,#28334A,#72293C,274,   5
NCAA BB,30.42592, -84.28877,Florida A&M Rattlers,#ee7624,#1b5633,275,2090
NCAA BB,40.86219, -73.88371,Fordham Rams,#860038,#860038,276,   5
NCAA BB,41.11542, -85.12471,Fort Wayne Mastodons,#F7A800,#F7A800,277,1526
NCAA BB,34.91675, -82.43673,Furman Paladins,#201547,#582c83,278, 728
NCAA BB,35.24611, -81.66948,Gardner-Webb Bulldogs,#BF2F37,#ffffff,279,4186
NCAA BB,38.82680, -77.30966,George Mason Patriots,#006633,#FFCC33,280,  61
NCAA BB,38.89780, -77.04934,George Washington University Colonials,#C2A303,#C2A303,281,  61
