"county","state","lat","long","population"
"Maui","Hawaii",20.8596,-156.5649,166657
"Kenton","Kentucky",38.9334,-84.5333,166552
"Alamance","North Carolina",36.0437,-79.3994,166144
"Wyandotte","Kansas",39.1146,-94.7646,165447
"Beaver","Pennsylvania",40.6823,-80.3493,164781
"Paulding","Georgia",33.9206,-84.8673,164440
"Kent","Rhode Island",41.6721,-71.5931,164122
"Lee","Alabama",32.6011,-85.3555,163461
"Chittenden","Vermont",44.4608,-73.0808,163414
"Guadalupe","Texas",29.583,-97.9486,163030
"Middlesex","Connecticut",41.4632,-72.5351,162742
"Rock","Wisconsin",42.6712,-89.0716,162532
"Portage","Ohio",41.1677,-81.1974,162476
"Centre","Pennsylvania",40.9193,-77.82,162264
"Ector","Texas",31.8692,-102.5427,162067
"Kootenai","Idaho",47.6744,-116.7018,161676
"Charles","Maryland",38.5073,-76.9922,161448
"Hampshire","Massachusetts",42.3402,-72.6638,161361
"Dorchester","South Carolina",33.0793,-80.4067,161309
"Martin","Florida",27.0775,-80.4315,160420
"Yellowstone","Montana",45.9373,-108.2744,160390
"Stearns","Minnesota",45.5521,-94.613,159788
"St. Clair","Michigan",42.9341,-82.6806,159285
"Rensselaer","New York",42.7111,-73.5097,159013
"Catawba","North Carolina",35.662,-81.2151,158507
"Alexandria","Virginia",38.8185,-77.0861,158309
"Jackson","Michigan",42.2485,-84.4234,158174
"Sullivan","Tennessee",36.5129,-82.3042,157707
"Indian River","Florida",27.6943,-80.6062,156964
"Olmsted","Minnesota",44.0038,-92.4018,156446
"Fairfield","Ohio",39.7516,-82.6306,156204
"Johnson","Indiana",39.49,-86.1016,156148
"Madera","California",37.2181,-119.7626,155925
"Houston","Georgia",32.459,-83.6662,155317
"Schenectady","New York",42.8181,-74.0586,155086
"Franklin","Pennsylvania",39.9274,-77.7213,154954
"Ouachita","Louisiana",32.4784,-92.1549,154679
"Columbia","Georgia",33.5441,-82.2641,154257
"Rankin","Mississippi",32.2641,-89.9458,154119
"Berrien","Michigan",41.9547,-86.4123,153797
"Bibb","Georgia",32.8065,-83.6974,153026
"Mesa","Colorado",39.0183,-108.4665,152962
"Penobscot","Maine",45.4006,-68.6495,151696
"Kings","California",36.0753,-119.8155,151090
"Tolland","Connecticut",41.855,-72.3365,150947
"Merrimack","New Hampshire",43.2975,-71.6802,150902
"Johnson","Iowa",41.6715,-91.5881,150819
"Washington","Maryland",39.6036,-77.814,150575
